FIPS,State,Area_name, Employed_2013, Unemployed_2013,Unemployment_rate_2013,Median_Household_Income_2013, Employed_2014, Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2014, Employed_2015, Unemployed_2015,Unemployment_rate_2015,Median_Household_Income_2015, Employed_2016, Unemployed_2016,Unemployment_rate_2016,Median_Household_Income_2016,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018
34000,NJ,New Jersey,"4,173,828","374,732",8.2,1396011,"4,183,541","303,497",6.8,1419167,"4,229,158","259,843",5.8,1456315,"4,252,062","222,627",5,1475455,4247535,205990,4.6,1529652,"4,239,567","183,375",4.1,1606570
34001,NJ,"Atlantic County, NJ","121,628","16,079",11.7,41664,"117,879","13,907",10.6,42201,"114,274","12,109",9.6,43244,"113,483","9,091",7.4,44053,110060,8562,7.2,44771,"111,968","7,001",5.9,46557
34003,NJ,"Bergen County, NJ","449,009","32,389",6.7,79037,"451,477","25,982",5.4,82001,"456,727","22,549",4.7,81615,"458,743","20,044",4.2,84309,456948,18500,3.9,88512,"455,773","16,228",3.4,93205
34005,NJ,"Burlington County, NJ","215,038","17,917",7.7,74285,"213,837","14,693",6.4,76868,"217,756","12,303",5.3,80479,"219,995","10,276",4.5,74844,220764,9410,4.1,80081,"218,877","8,568",3.8,86777
34007,NJ,"Camden County, NJ","233,809","24,261",9.4,58572,"232,309","19,401",7.7,57641,"236,249","16,327",6.5,61685,"238,823","13,890",5.5,63589,240342,12875,5.1,65838,"238,357","11,588",4.6,65817
34009,NJ,"Cape May County, NJ","42,349","7,040",14.3,48691,"42,607","5,944",12.2,49443,"42,694","5,344",11.1,51322,"42,076","4,585",9.8,53981,41862,4235,9.2,55875,"41,945","3,840",8.4,58324
34011,NJ,"Cumberland County, NJ","61,557","8,187",11.7,34109,"60,908","6,701",9.9,34349,"61,503","5,954",8.8,35366,"61,374","4,961",7.5,36814,60747,4542,7,37408,"60,128","4,161",6.5,38893
34013,NJ,"Essex County, NJ","343,127","36,840",9.7,54783,"343,438","29,992",8,55369,"345,364","25,701",6.9,57817,"345,779","22,129",6,60131,346604,20786,5.7,61287,"345,495","18,851",5.2,63554
34015,NJ,"Gloucester County, NJ","136,764","13,541",9,44895,"136,672","10,780",7.3,45826,"139,287","8,984",6.1,47305,"141,431","7,537",5.1,49636,142127,7031,4.7,50589,"140,940","6,235",4.2,52506
34017,NJ,"Hudson County, NJ","331,172","28,300",7.9,47628,"334,435","22,756",6.4,48344,"339,480","19,319",5.4,51776,"342,335","16,817",4.7,55354,344612,15684,4.4,57081,"343,787","13,852",3.9,59623
34019,NJ,"Hunterdon County, NJ","62,694","3,896",5.9,103301,"62,135","3,187",4.9,107203,"62,076","2,758",4.3,103876,"61,793","2,422",3.8,102797,61229,2245,3.5,113336,"60,971","2,049",3.3,113083
34021,NJ,"Mercer County, NJ","179,786","14,128",7.3,67662,"182,465","11,420",5.9,70575,"186,569","9,838",5,73750,"188,408","8,587",4.4,72172,187528,8053,4.1,76988,"189,277","7,217",3.7,78161
34023,NJ,"Middlesex County, NJ","399,517","32,566",7.5,77044,"405,617","26,391",6.1,76515,"413,173","22,439",5.2,77330,"416,825","19,334",4.4,78249,418904,17838,4.1,82183,"419,262","15,791",3.6,85187
34025,NJ,"Monmouth County, NJ","304,017","24,741",7.5,81190,"305,755","19,770",6.1,83424,"309,267","16,886",5.2,87220,"311,922","14,554",4.5,86722,311151,13379,4.1,89968,"311,236","11,870",3.7,97627
34027,NJ,"Morris County, NJ","248,681","16,351",6.2,95236,"247,132","13,136",5,99950,"247,878","11,361",4.4,100511,"247,799","10,120",3.9,101754,245505,9265,3.6,107019,"244,696","8,288",3.3,114269
34029,NJ,"Ocean County, NJ","242,170","24,757",9.3,59022,"244,949","19,531",7.4,59888,"248,986","16,411",6.2,62937,"253,889","13,983",5.2,63478,255361,12873,4.8,62276,"255,456","11,515",4.3,70493
34031,NJ,"Passaic County, NJ","225,959","25,024",10,58073,"226,555","20,386",8.3,57426,"228,970","17,463",7.1,58030,"228,488","15,045",6.2,55723,227565,13808,5.7,61517,"227,001","12,205",5.1,63127
34033,NJ,"Salem County, NJ","28,513","3,319",10.4,57939,"28,435","2,644",8.5,58483,"28,552","2,264",7.3,56645,"28,092","1,918",6.4,63988,27392,1796,6.2,56071,"27,226","1,569",5.4,61322
34035,NJ,"Somerset County, NJ","163,627","11,092",6.3,95574,"163,446","9,015",5.2,96947,"164,570","7,883",4.6,100194,"164,924","6,983",4.1,99059,163854,6495,3.8,104668,"163,318","5,811",3.4,111838
34037,NJ,"Sussex County, NJ","73,105","6,307",7.9,82048,"72,043","4,953",6.4,84431,"71,679","4,142",5.5,85747,"71,240","3,530",4.7,86549,69960,3234,4.4,87549,"69,689","2,871",4,89744
34039,NJ,"Union County, NJ","257,806","23,572",8.4,64698,"258,188","19,312",7,64272,"260,453","16,773",6.1,68172,"260,860","14,237",5.2,70581,261743,13057,4.8,71801,"260,935","11,748",4.3,76830
34041,NJ,"Warren County, NJ","53,498","4,424",7.6,70560,"53,260","3,597",6.3,68011,"53,654","3,037",5.4,71294,"53,782","2,583",4.6,71672,53279,2321,4.2,74834,"53,230","2,118",3.8,79633