,Unnamed: 0_studio,County,State_studio,Metro_studio,2013 Average_studio,2014 Average_studio,2015 Average_studio,2016 Average_studio,2017 Average_studio,2018 Average_studio,Unnamed: 0_sfr,State_sfr,Metro_sfr,2013 Average_sfr,2014 Average_sfr,2015 Average_sfr,2016 Average_sfr,2017 Average_sfr,2018 Average_sfr,Unnamed: 0_x,State_x,Metro_x,2013 Average_mfr,2014 Average_mfr,2015 Average_mfr,2016 Average_mfr,2017 Average_mfr,2018 Average_mfr,Unnamed: 0_y,State_y,Metro_y,2013 Average_duplex_triplex,2014 Average_duplex_triplex,2015 Average_duplex_triplex,2016 Average_duplex_triplex,2017 Average_duplex_triplex,2018 Average_duplex_triplex,Unnamed: 0,State,Metro,2013 Average_condo,2014 Average_condo,2015 Average_condo,2016 Average_condo,2017 Average_condo,2018 Average_condo
0,0.0,Bergen County,NJ,New York-Newark-Jersey City,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,0.0,NJ,New York-Newark-Jersey City,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,0.0,NJ,New York-Newark-Jersey City,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,0.0,NJ,New York-Newark-Jersey City,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,0.0,NJ,New York-Newark-Jersey City,2108.125,2108.125,2108.125,2108.125,2108.125,2108.125
1,1.0,Middlesex County,NJ,New York-Newark-Jersey City,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,1.0,NJ,New York-Newark-Jersey City,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,1.0,NJ,New York-Newark-Jersey City,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1.0,NJ,New York-Newark-Jersey City,1629.5,1629.5,1629.5,1629.5,1629.5,1629.5,1.0,NJ,New York-Newark-Jersey City,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446
2,2.0,Essex County,NJ,New York-Newark-Jersey City,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,2.0,NJ,New York-Newark-Jersey City,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,2.0,NJ,New York-Newark-Jersey City,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,2.0,NJ,New York-Newark-Jersey City,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,2.0,NJ,New York-Newark-Jersey City,662.8125,662.8125,662.8125,662.8125,662.8125,662.8125
3,3.0,Hudson County,NJ,New York-Newark-Jersey City,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,3.0,NJ,New York-Newark-Jersey City,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,3.0,NJ,New York-Newark-Jersey City,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,3.0,NJ,New York-Newark-Jersey City,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,3.0,NJ,New York-Newark-Jersey City,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778
4,4.0,Ocean County,NJ,New York-Newark-Jersey City,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,5.0,NJ,New York-Newark-Jersey City,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,5.0,NJ,New York-Newark-Jersey City,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,,,,,,,,,,5.0,NJ,New York-Newark-Jersey City,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554
5,5.0,Union County,NJ,New York-Newark-Jersey City,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,6.0,NJ,New York-Newark-Jersey City,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,6.0,NJ,New York-Newark-Jersey City,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,5.0,NJ,New York-Newark-Jersey City,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,6.0,NJ,New York-Newark-Jersey City,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665
6,6.0,Camden County,NJ,Philadelphia-Camden-Wilmington,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,7.0,NJ,Philadelphia-Camden-Wilmington,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,7.0,NJ,Philadelphia-Camden-Wilmington,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,,,,,,,,,,7.0,NJ,Philadelphia-Camden-Wilmington,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333
7,7.0,Passaic County,NJ,New York-Newark-Jersey City,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,8.0,NJ,New York-Newark-Jersey City,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,8.0,NJ,New York-Newark-Jersey City,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,6.0,NJ,New York-Newark-Jersey City,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,8.0,NJ,New York-Newark-Jersey City,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777
8,8.0,Morris County,NJ,New York-Newark-Jersey City,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,9.0,NJ,New York-Newark-Jersey City,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,9.0,NJ,New York-Newark-Jersey City,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,7.0,NJ,New York-Newark-Jersey City,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,9.0,NJ,New York-Newark-Jersey City,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556
9,9.0,Burlington County,NJ,Philadelphia-Camden-Wilmington,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,10.0,NJ,Philadelphia-Camden-Wilmington,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,10.0,NJ,Philadelphia-Camden-Wilmington,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,8.0,NJ,Philadelphia-Camden-Wilmington,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,10.0,NJ,Philadelphia-Camden-Wilmington,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667
10,10.0,Mercer County,NJ,Trenton,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,11.0,NJ,Trenton,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,11.0,NJ,Trenton,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,9.0,NJ,Trenton,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,11.0,NJ,Trenton,1673.7152777777776,1673.7152777777776,1673.7152777777776,1673.7152777777776,1673.7152777777776,1673.7152777777776
11,11.0,Somerset County,NJ,New York-Newark-Jersey City,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,12.0,NJ,New York-Newark-Jersey City,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,12.0,NJ,New York-Newark-Jersey City,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,10.0,NJ,New York-Newark-Jersey City,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,12.0,NJ,New York-Newark-Jersey City,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0
12,12.0,Gloucester County,NJ,Philadelphia-Camden-Wilmington,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,13.0,NJ,Philadelphia-Camden-Wilmington,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,13.0,NJ,Philadelphia-Camden-Wilmington,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,,,,,,,,,,13.0,NJ,Philadelphia-Camden-Wilmington,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326
13,13.0,Atlantic County,NJ,Atlantic City-Hammonton,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,14.0,NJ,Atlantic City-Hammonton,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,14.0,NJ,Atlantic City-Hammonton,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,11.0,NJ,Atlantic City-Hammonton,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,14.0,NJ,Atlantic City-Hammonton,519.6875,519.6875,519.6875,519.6875,519.6875,519.6875
14,14.0,Cumberland County,NJ,Vineland-Bridgeton,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,15.0,NJ,Vineland-Bridgeton,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,15.0,NJ,Vineland-Bridgeton,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,,,,,,,,,,,,,,,,,,
15,15.0,Sussex County,NJ,New York-Newark-Jersey City,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,16.0,NJ,New York-Newark-Jersey City,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,16.0,NJ,New York-Newark-Jersey City,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,,,,,,,,,,,,,,,,,,
16,16.0,Hunterdon County,NJ,New York-Newark-Jersey City,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,17.0,NJ,New York-Newark-Jersey City,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,17.0,NJ,New York-Newark-Jersey City,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,,,,,,,,,,,,,,,,,,
17,17.0,Warren County,NJ,Allentown-Bethlehem-Easton,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,18.0,NJ,Allentown-Bethlehem-Easton,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,18.0,NJ,Allentown-Bethlehem-Easton,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,,,,,,,,,,,,,,,,,,
18,18.0,Cape May County,NJ,Ocean City,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19.0,Salem County,NJ,Philadelphia-Camden-Wilmington,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,19.0,NJ,Philadelphia-Camden-Wilmington,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Monmouth County,,,,,,,,,4.0,NJ,New York-Newark-Jersey City,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,4.0,NJ,New York-Newark-Jersey City,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,4.0,NJ,New York-Newark-Jersey City,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,4.0,NJ,New York-Newark-Jersey City,1817.1527777777774,1817.1527777777774,1817.1527777777774,1817.1527777777774,1817.1527777777774,1817.1527777777774
