,County,State,Metro,2013 Average (Studio),2014 Average (Studio),2015 Average (Studio),2016 Average (Studio),2017 Average (Studio),2018 Average (Studio),2013 Average (SFR),2014 Average (SFR),2015 Average (SFR),2016 Average (SFR),2017 Average (SFR),2018 Average (SFR),2013 Average (MFR),2014 Average (MFR),2015 Average (MFR),2016 Average (MFR),2017 Average (MFR),2018 Average (MFR),2013 Average (Duplex Triplex),2014 Average (Duplex Triplex),2015 Average (Duplex Triplex),2016 Average (Duplex Triplex),2017 Average (Duplex Triplex),2018 Average (Duplex Triplex),2013 Average (Condo),2014 Average (Condo),2015 Average (Condo),2016 Average (Condo),2017 Average (Condo),2018 Average (Condo),2013 Average (All Homes),2014 Average (All Homes),2015 Average (All Homes),2016 Average (All Homes),2017 Average (All Homes),2018 Average (All Homes),2013 Average (One Bed),2014 Average (One Bed),2015 Average (One Bed),2016 Average (One Bed),2017 Average (One Bed),2018 Average (One Bed),2013 Average (Two Bed),2014 Average (Two Bed),2015 Average (Two Bed),2016 Average (Two Bed),2017 Average (Two Bed),2018 Average (Two Bed),2013 Average (Three Bed),2014 Average (Three Bed),2015 Average (Three Bed),2016 Average (Three Bed),2017 Average (Three Bed),2018 Average (Three Bed),2013 Average (Four Bed),2014 Average (Four Bed),2015 Average (Four Bed),2016 Average (Four Bed),2017 Average (Four Bed),2018 Average (Four Bed),2013 Average (Five Bed),2014 Average (Five Bed),2015 Average (Five Bed),2016 Average (Five Bed),2017 Average (Five Bed),2018 Average (FIve Bed)
0,Bergen County,NJ,New York-Newark-Jersey City,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,2418.020547945205,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,1441.2739726027398,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,1277.3287671232874,2108.125,2108.125,2108.125,2108.125,2108.125,2108.125,1995.875,2247.5,2336.458333333333,2322.9166666666665,2401.0416666666665,2465.625,,,1538.333333333333,1591.583333333333,1727.25,1964.666666666667,,,2193.0416666666665,2191.333333333333,2371.458333333333,2520.833333333333,,,2467.5,2542.9166666666665,2541.6666666666665,2604.958333333333,,,,,3283.333333333333,3400.625,,,,,,
1,Middlesex County,NJ,New York-Newark-Jersey City,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,2046.9931506849318,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1654.63698630137,1629.5,1629.5,1629.5,1629.5,1629.5,1629.5,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446,1713.0069444444446,1793.75,1818.75,1836.666666666667,1872.916666666667,1953.541666666667,1964.375,,,,,1116.8333333333333,1520.791666666667,1585.208333333333,1631.791666666667,1687.916666666667,1729.583333333333,1827.916666666667,1888.375,2020.0,2058.333333333333,2088.75,2124.7916666666665,2247.9166666666665,2263.1666666666665,,,,,,,,,,,,
2,Essex County,NJ,New York-Newark-Jersey City,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1540.2260273972602,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,1337.3835616438355,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,1288.4109589041095,662.8125,662.8125,662.8125,662.8125,662.8125,662.8125,232.0833333333333,1517.583333333333,1518.75,1595.333333333333,1737.291666666667,1758.333333333333,936.6666666666664,939.9166666666664,1052.9166666666667,1107.7083333333333,1264.5416666666667,1381.333333333333,1276.0416666666667,1253.75,1307.5,1432.083333333333,1592.5,1675.625,1310.4166666666667,1287.5,1329.1666666666667,1388.958333333333,1466.25,1575.0,,,,,1668.833333333333,1756.208333333333,,,,,,
3,Hudson County,NJ,New York-Newark-Jersey City,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,1821.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,2153.554794520548,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,821.3424657534247,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778,2365.715277777778,1985.416666666667,2104.1666666666665,2307.583333333333,2252.083333333333,2260.4166666666665,2244.7916666666665,1816.583333333333,1847.625,1892.5,1925.208333333333,2029.25,2189.1666666666665,,,2418.5416666666665,2468.5416666666665,2480.1666666666665,2647.4166666666665,,,2018.041666666667,2456.6666666666665,2327.9166666666665,2347.458333333333,,,,700.0,2609.1666666666665,2341.4166666666665,,,,,1541.666666666667,2493.083333333333
4,Ocean County,NJ,New York-Newark-Jersey City,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,1403.082191780822,,,,,,,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554,1482.8055555555554,1571.625,1530.208333333333,1595.625,1620.833333333333,1665.416666666667,1724.583333333333,,,,176.66666666666663,1219.7916666666667,1235.8333333333333,1271.0416666666667,1297.0833333333333,1338.5416666666667,1387.916666666667,1458.75,1482.708333333333,1170.8333333333333,1560.416666666667,1564.375,1625.0,1724.166666666667,1757.833333333333,,,,,,,,,,,,
5,Union County,NJ,New York-Newark-Jersey City,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,1649.7191780821918,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,1572.3561643835615,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,1506.7739726027398,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665,746.0416666666665,1718.958333333333,1900.0,1963.958333333333,2055.833333333333,2089.4166666666665,2123.958333333333,,,1283.9166666666667,1411.458333333333,1540.291666666667,1591.25,1551.666666666667,1657.416666666667,1638.041666666667,1765.916666666667,1854.541666666667,1904.708333333333,284.375,1636.458333333333,1665.416666666667,1869.166666666667,1868.75,1897.916666666667,,,,,,,,,,,,
6,Camden County,NJ,Philadelphia-Camden-Wilmington,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,852.8904109589041,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,921.6780821917807,,,,,,,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333,1292.6458333333333,1298.3333333333333,1377.5,1417.708333333333,1414.583333333333,1437.5,1453.833333333333,843.5,809.1666666666665,914.2916666666664,962.625,1014.0,1026.4583333333333,1140.0833333333333,1125.0,1228.3333333333333,1345.6666666666667,1363.0833333333333,1322.5416666666667,,,,381.625,1762.5,1681.25,,,,,,,,,,,,
7,Passaic County,NJ,New York-Newark-Jersey City,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1423.8698630136987,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,1426.2328767123288,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,1413.3698630136987,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777,719.9652777777777,1519.791666666667,1652.083333333333,1686.25,1689.166666666667,1742.708333333333,1858.75,1118.3333333333333,1153.75,1185.4166666666667,1220.2083333333333,1278.5416666666667,1351.3333333333333,1481.25,1512.5,1565.208333333333,1536.875,1614.583333333333,1630.416666666667,1791.666666666667,1612.083333333333,1668.75,1746.875,1859.166666666667,1919.375,,,,,,,,,,,,
8,Morris County,NJ,New York-Newark-Jersey City,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,1674.513698630137,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,1969.4315068493152,1352.0,1352.0,1352.0,1352.0,1352.0,1352.0,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556,2157.493055555556,2134.333333333333,2283.333333333333,2329.1666666666665,2320.833333333333,2412.708333333333,2451.875,1273.5416666666667,1354.1666666666667,1548.75,1517.75,1702.0,1904.416666666667,1955.833333333333,2040.0,2128.6666666666665,2207.75,2305.75,2396.6666666666665,,,,,2541.1666666666665,2597.2916666666665,,,,,,,,,,,,
9,Burlington County,NJ,Philadelphia-Camden-Wilmington,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,2360.794520547945,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,1261.958904109589,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,382.2945205479452,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667,1375.104166666667,1507.708333333333,1534.75,1572.5,1552.916666666667,1574.708333333333,1597.916666666667,935.0416666666664,974.9166666666664,1020.375,1065.2083333333333,1119.7916666666667,1143.6666666666667,1269.25,1305.4166666666667,1327.125,1342.2916666666667,1393.333333333333,1444.583333333333,,,,,992.0833333333336,1717.916666666667,,,,,,,,,,,,
10,Mercer County,NJ,Trenton,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1753.333333333333,1710.0,1733.333333333333,1733.333333333333,1734.083333333333,1727.083333333333,,,,,,852.2916666666665,,,,,,1173.75,,,,,,878.125,,,,,,,,,,,,
11,Somerset County,NJ,New York-Newark-Jersey City,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1899.583333333333,1991.666666666667,2032.916666666667,2045.833333333333,2108.333333333333,2120.833333333333,,,1165.8333333333333,1375.708333333333,1463.416666666667,1497.791666666667,1742.708333333333,1754.166666666667,1823.75,1868.958333333333,1925.0,1931.875,,,,,2189.583333333333,2135.833333333333,,,,,,,,,,,,
12,Gloucester County,NJ,Philadelphia-Camden-Wilmington,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,,,,,,,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,1383.333333333333,1471.416666666667,1491.25,1520.833333333333,1590.625,1648.333333333333,,,,,968.5416666666664,1088.8333333333333,1182.2916666666667,1035.4166666666667,1193.5833333333333,1255.625,1273.5416666666667,1324.0416666666667,,,,,1470.0,1571.166666666667,,,,,,,,,,,,
13,Atlantic County,NJ,Atlantic City-Hammonton,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,519.6875,519.6875,519.6875,519.6875,519.6875,519.6875,1809.375,1622.5,1604.166666666667,1542.708333333333,1518.75,1570.791666666667,1007.0833333333336,996.25,1062.875,1014.0833333333336,943.125,1000.8333333333336,1278.9583333333333,1217.7083333333333,1237.1666666666667,1201.5,1184.4166666666667,1191.4583333333333,,,,1529.416666666667,1548.916666666667,1541.0,,,,,,,,,,,,
14,Cumberland County,NJ,Vineland-Bridgeton,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,,,,,,,,,,,,,,,,283.3333333333333,1196.6666666666667,1211.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sussex County,NJ,New York-Newark-Jersey City,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,,,,,,,,,,,,,1408.333333333333,1472.291666666667,1461.875,1495.833333333333,1557.916666666667,1620.833333333333,,,,,537.7083333333334,1153.875,,,,,1418.75,1412.291666666667,,,,,,,,,,,,,,,,,,
16,Hunterdon County,NJ,New York-Newark-Jersey City,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,,,,,,,,,,,,,1757.708333333333,1902.083333333333,1892.708333333333,1863.958333333333,1910.208333333333,1948.958333333333,,,,,681.0416666666666,1328.3333333333333,,,,,1643.75,1776.041666666667,,,,,,,,,,,,,,,,,,
17,Warren County,NJ,Allentown-Bethlehem-Easton,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,,,,,,,,,,,,,1421.666666666667,1493.083333333333,1486.666666666667,1516.041666666667,1482.083333333333,1491.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cape May County,NJ,Ocean City,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Salem County,NJ,Philadelphia-Camden-Wilmington,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,,,,,,,,,,,,,,,,,,,,,,83.33333333333333,1075.625,1187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Monmouth County,,,,,,,,,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,2086.25,2112.5,2162.083333333333,2158.333333333333,2279.1666666666665,2368.75,1246.6666666666667,1344.7916666666667,1320.5833333333333,1393.333333333333,1406.458333333333,1465.625,1740.208333333333,1769.583333333333,1773.75,1783.041666666667,1841.25,1916.666666666667,2241.875,2254.1666666666665,2332.5,2312.5,2370.833333333333,2445.833333333333,,,,,3014.583333333333,3483.333333333333,,,,,,
